title,score,popcornScore,favorite,recommended,link,popcornLink
The Wild Robot,9.3,98,TRUE,FALSE,https://www.instagram.com/p/DBtNkRDO48D/,https://www.rottentomatoes.com/m/the_wild_robot
Inside Out 2,8.2,95,FALSE,TRUE,https://www.instagram.com/p/DADfLYgCPMf/,https://www.rottentomatoes.com/m/inside_out_2
Leon the Professional,8.2,95,TRUE,FALSE,https://www.instagram.com/p/C_NZ9qyOmLS/,https://www.rottentomatoes.com/m/leon_the_professional
The Nightmare Before Christmas,8,92,FALSE,TRUE,https://www.instagram.com/p/DBzEVYpOa2U/,https://www.rottentomatoes.com/m/the_nightmare_before_christmas
The Apprentice,7.7,84,FALSE,TRUE,https://www.instagram.com/p/DBdp5f-u222/,https://rottentomatoes.com/m/the_apprentice
Beetlejuice,7.2,82,FALSE,FALSE,https://www.instagram.com/p/DAVvzn2C82s/,https://www.rottentomatoes.com/m/beetlejuice
Beverly Hills Cop,7.2,82,FALSE,TRUE,https://www.instagram.com/p/DAGF2UaCF-A/,https://www.rottentomatoes.com/m/beverly_hills_cop
Beetlejuice Beetlejuice,7,79,FALSE,FALSE,https://www.instagram.com/p/DAYCIxXuN4M/,https://www.rottentomatoes.com/m/beetlejuice_beetlejuice
Deadpool & Wolverine,7,94,FALSE,FALSE,https://www.instagram.com/p/C-FOSqvoJcE/,https://www.rottentomatoes.com/m/deadpool_and_wolverine
Emilia Perez,6.7,79,FALSE,FALSE,https://www.instagram.com/p/C_psy_COFU6/,https://www.rottentomatoes.com/m/emilia_perez
Kill Bok-Soon,6.5,81,FALSE,FALSE,https://www.instagram.com/p/DA5mwsRuDZR/,https://www.rottentomatoes.com/m/kill_boksoon
Hunger,6.2,65,FALSE,FALSE,https://www.instagram.com/p/C-iC_MTihC7/,https://www.rottentomatoes.com/m/hunger_2022
IF,6,87,FALSE,FALSE,https://www.instagram.com/p/C_0m3TRiWl7/,https://www.rottentomatoes.com/m/if_2024
Basic Instinct,6,64,FALSE,FALSE,https://www.instagram.com/p/C-sG2vtChyB/,https://www.rottentomatoes.com/m/basic_instinct
The Great Escaper,5.7,84,FALSE,FALSE,https://www.instagram.com/p/DBLy4DxiXfs/,https://www.rottentomatoes.com/m/the_great_escaper
Joker: Folie à Deux,5.5,32,FALSE,FALSE,https://www.instagram.com/p/DA2-iVwuPgI/,https://www.rottentomatoes.com/m/joker_folie_a_deux
Pain Hustlers,5.5,65,FALSE,FALSE,https://www.instagram.com/p/C-XTI2QCPxe/,https://www.rottentomatoes.com/m/pain_hustlers
